"species","commonname"
"Abarema cochliocarpos",""
"Abarema levelii",""
"Abatia mexicana",""
"Abatia parviflora","Ortigo; Duraznillo; Velitas; Velitas | Duraznillo; velitas; duraznillo; Velillo; Chirlobirlo"
"Abatia rugosa",""
"Abatia spicata",""
"Abies alba","European Silver-fir; silvergran; Gewone zilverspar; Sapin pectiné; Almindelig ædelgran; Silver fir or European silver fir; edelgran; Пихта белая; Gewone zilverspar | Silver Fir | Sapin pectiné | Weisstanne | Almindelig ædelgran; Edelgran; Almindelig Ædelgran; ヨーロッパモミ; silver fir, european silver fir; European Silver Fir; almindelig ædelgran; bm: Edelgran; European Silver-fir, in French: Sapin pectine"
"Abies amabilis","Beautiful Silver-Fir; PURPURGRAN; Pacific silver fir; Pacific silver fir | sapin gracieux | amabilis fir | silver fir"
"Abies balsamea","balsamgran; balsam fir; BALSAMGRAN; Balsam Fir; canadian yew; fir; FIR, BALSAM; バルサムモミ; Пихта; balsam fir, sapin baumier, Canada balsam, sapin; balsam fir | sapin baumier; Balsam (Balsam Fir); Balsam fir; pines; tracheophytes; plants"
"Abies beshanzuensis",""
"Abies bracteata","Bristlecone Fir; bristlecone fir;Santa Lucia fir;silver fir"
"Abies cephalonica","Greek Fir; grekgran; Grecian Fir; Griekse zilverspar"
"Abies chensiensis",""
"Abies cilicica","Cilician Fir; turkgran; Пихта"
"Abies concolor","oregongran; coloradogran; Colorado White-fir; abeto, oyamel, oyamel de California, pinabete; pines; tracheophytes; plants; balsam fir;Colorado fir;concolor fir;silver fir;white balsam;white fir;oyamel de California; NEVADAGRAN; Пихта; Pino bálsamo, abeto, oyamel, oyamel de California, pinabete; Langnålet Ædelgran; FIR, WHITE; コロラドモミ; Koloradoedelgran; koloradoedelgran; oyamel; abeto; pino, abeto, oyamel, oyamel de California, pinabete; oyamel de California, abeto, oyamel, oyamel de California, pinabete; Langnålet ædelgran; abeto, abeto, oyamel, oyamel de California, pinabete; 白冷杉; Concolor fir; White fir; White Fir; White Fir, Concolor Fir; Coloradozilverspar"
"Abies delavayi","Delavay's Silver-fir; Abies delavayi Franch."
"Abies densa",""
"Abies durangensis","pinabete, oyamel, pinabete; Matéo, Cahuitel, Cahuite, Pino bete, Pino azul, oyamel, pinabete; huallame, Pinabete, oyamel, oyamel blanco; cahuite, oyamel, pinabete; oyamel, pinabete; oyamel, oyamel blanco; abies, cahuite, pino, pino azul, oyamel, pinabete; cahuite; nica; oyamel pseudotsuga, oyamel, pinabete; oyamel, oyamel, oyamel blanco"
"Abies fabri",""
"Abies fanjingshanensis",""
"Abies fargesii",""
"Abies firma","モミ; Momi Fir; マツ; 일본전나무; 日本冷杉"
"Abies forrestii","forrestgran; Abies forrestii var. ferreana (Bordères & Gaussen) Farjon &; Abies georgei Orr"
"Abies fraseri","Fraser Fir; Fraser's Fir; Fraser fir"
"Abies grandis","Giant Fir; kustgran; Reuzenzilverspar; Sapin de Vancouver; Kæmpegran; KUSTGRAN; Giant fir; Giant Fir, in French: Sapin de Vancouver; pines; tracheophytes; plants; grand fir"
"Abies guatemalensis","Romerillo, Pinabete; oyamel de jalisco; Oyamel, oyamel de jalisco; pinabete; oyamel, oyamel de jalisco; abeto; pinabete, oyamel de jalisco; romerito; abeto blanco, oyamel de jalisco; guayami; oyamel, pinabete, oyamel de jalisco, romerillo, Plumajatzin, romerito, guayami; oyamel"
