class_name,order_name,family_name
Liliopsida,Myrtales,Acanthaceae
,Rosales,Aceraceae
,Fagales,Achariaceae
,Sapindales,Achatocarpaceae
,Malpighiales,Actinidiaceae
,Laurales,Adoxaceae
,Malvales,Aextoxicaceae
,Ericales,Akaniaceae
,Caryophyllales,Alseuosmiaceae
,Gentianales,Altingiaceae
,Lamiales,Alzateaceae
,Proteales,Amaranthaceae
,Arecales,Amborellaceae
,Zingiberales,Anacardiaceae
,Poales,Anisophylleaceae
,Pinales,Annonaceae
,Cupressales,Aphloiaceae
,Araucariales,Apiaceae
,Ginkgoales,Apocynaceae
,Cycadales,Aptandraceae
,,Aquifoliaceae
,,Araceae
,,Araliaceae
,,Aralidiaceae
,,Araucariaceae
,,Arecaceae
,,Argophyllaceae
,,Aristolochiaceae
,,Asparagaceae
,,Asteraceae
,,Asteropeiaceae
,,Atherospermataceae
,,Austrobaileyaceae
,,Balanopaceae
,,Balanophoraceae
,,Balsaminaceae
,,Barbeuiaceae
,,Barbeyaceae
,,Basellaceae
,,Bataceae
,,Begoniaceae
,,Berberidaceae
,,Berberidopsidaceae
,,Betulaceae
,,Biebersteiniaceae
,,Bignoniaceae
,,Bixaceae
,,Bonnetiaceae
,,Boraginaceae
,,Brassicaceae
,,Brexiaceae
,,Bruniaceae
,,Brunoniaceae
,,Burmanniaceae
,,Burseraceae
,,Butomaceae
,,Buxaceae
,,Byblidaceae
,,Cabombaceae
,,Cactaceae
,,Calceolariaceae
,,Calophyllaceae
,,Calycanthaceae
,,Calyceraceae
,,Campanulaceae
,,Campynemataceae
,,Canellaceae
,,Cannabaceae
,,Cannaceae
,,Capparaceae
,,Caprifoliaceae
,,Cardiopteridaceae
,,Caricaceae
,,Carlemanniaceae
,,Caryocaraceae
,,Caryophyllaceae
,,Casuarinaceae
,,Celastraceae
,,Centrolepidaceae
,,Centroplacaceae
,,Cephalotaceae
,,Ceratophyllaceae
,,Cercidiphyllaceae
,,Chloranthaceae
,,Chrysobalanaceae
,,Cichoriaceae
,,Circaeasteraceae
,,Cistaceae
,,Cleomaceae
,,Clethraceae
,,Clusiaceae
,,Colchicaceae
