ecoregion_id,ecoregion_name,biome_id
ER001,Madeira-Tapajós moist forests,BM13
ER002,Sierra Madre del Sur pine-oak forests,BM01
ER003,Veracruz montane forests,BM01
ER004,Trans-Mexican Volcanic Belt pine-oak forests,BM01
ER005,Oaxacan montane forests,BM13
ER006,Magdalena Valley montane forests,BM13
ER007,Cauca Valley montane forests,BM13
ER008,Iquitos várzea,BM13
ER009,Eastern Cordillera Real montane forests,BM13
ER010,Northwest Andean montane forests,BM13
ER011,Peruvian Yungas,BM13
ER012,Northern Andean páramo,BM02
ER013,Napo moist forests,BM13
ER014,Talamancan montane forests,BM13
ER015,Chocó-Darién moist forests,BM13
ER016,Cordillera Oriental montane forests,BM13
ER017,Ucayali moist forests,BM13
ER018,Scandinavian and Russian taiga,BM03
ER019,Western European broadleaf forests,BM04
ER020,Alps conifer and mixed forests,BM05
